,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
nothing,1928.2569,2386.855867,2464.740687,2477.170518,2479.192094,2476.448562,2280.741943,883.7739852,809.6213337,941.1200237,1090.479753,1340.975489,1702.482905,2037.609595,2152.031964,2189.9451,2205.123138,2211.024112,2186.419048,1354.308395,995.461513,846.6733717,975.267142,1133.175625,1386.529227,1721.192635,1971.925606,2047.255705,2073.83377,2081.706704,2076.35775,1805.317382,1111.031306,1131.218994,1093.538186,1159.021722,1324.437125,1592.555031,1828.478266,1945.256916,1971.2685,1979.527885,1980.316909,1936.602167,1466.781951,1331.268504,1141.845485,1140.852351,1234.802331,1446.145822,1677.994111,1851.273207,1895.914425,1909.937444,1912.638799,1912.023777,1836.410658,1461.818634,1234.867254,1155.719982
strategy 13,2148.575049,2464.90117,2497.096704,2503.263902,2505.473776,2507.741121,2493.835918,1746.258186,1511.376005,1755.132493,1971.858796,2319.344365,2458.58617,2489.266378,2496.72028,2499.269135,2500.213142,2500.599571,2500.656453,2301.911041,1509.129158,1496.237658,1805.06351,2112.036576,2410.035418,2472.647179,2487.684694,2490.26672,2491.258633,2491.36382,2491.339527,2475.960065,1854.045232,1882.896886,1783.261872,2065.966522,2330.585033,2460.354385,2476.256959,2477.886582,2478.7361,2479.276616,2479.739999,2480.125117,2344.830625,2065.202441,1756.754498,1928.291988,2184.744565,2416.229082,2468.265058,2474.508847,2476.15513,2476.134334,2476.400231,2476.770552,2463.215327,2343.310552,1833.373708,1866.877603
strategy 6,1990.337187,2409.719263,2477.860685,2490.02295,2494.590795,2497.50629,2396.88383,1072.291527,981.7565376,1136.99695,1295.347713,1617.480384,2063.343894,2272.224642,2328.048116,2354.409528,2368.974626,2373.859968,2372.739839,1608.127315,1169.069547,1022.098112,1182.613733,1369.974616,1786.337135,2177.582682,2279.149282,2308.627282,2320.599334,2323.200862,2322.706771,2134.116036,1325.628292,1347.019596,1289.820551,1380.114899,1637.806136,2090.499662,2226.656407,2271.157262,2281.886866,2287.079381,2289.734332,2273.408298,1820.545616,1533.827475,1334.447601,1302.148423,1461.227259,1874.54171,2159.814734,2234.431671,2252.425027,2259.859821,2261.390283,2261.441117,2178.360831,1750.377643,1418.43852,1345.078854
strategy 9,1995.74555,2413.289292,2478.476545,2490.508331,2495.445296,2498.384776,2401.084269,1081.170342,997.6513978,1159.36032,1328.806218,1652.06816,2091.710575,2278.968686,2336.755127,2364.491501,2380.021448,2385.557276,2384.005024,1639.136887,1183.953559,1034.927232,1210.505812,1407.500642,1841.643968,2189.861812,2290.469877,2323.722166,2337.990472,2342.369508,2343.374417,2151.082564,1346.724433,1374.879957,1312.204094,1417.934228,1678.408016,2123.98966,2250.279594,2283.537283,2297.925158,2301.944537,2302.890669,2288.855589,1853.304362,1543.570193,1337.003204,1365.928577,1506.533613,1907.385778,2191.094159,2251.11444,2266.151165,2270.828796,2271.569694,2272.355934,2194.784091,1834.013523,1414.380118,1364.174663
strategy 8,1990.337187,2402.937607,2475.535933,2488.771368,2494.558541,2496.906606,2405.587522,1075.620523,984.4948191,1149.620507,1332.489841,1670.778969,2105.955677,2298.218133,2356.865851,2381.628085,2390.687417,2394.043971,2388.534917,1659.449539,1164.276436,1023.801665,1192.93944,1386.901172,1827.034206,2202.393657,2315.259907,2338.52396,2345.089282,2348.316526,2348.658614,2197.061366,1296.466938,1340.292708,1291.917939,1393.548816,1669.684315,2114.954879,2265.94098,2306.645032,2317.782862,2323.698964,2324.770065,2316.831726,1792.255395,1550.433784,1325.052043,1359.444301,1492.161135,1919.178034,2210.914573,2281.509884,2296.600206,2301.766129,2303.696244,2304.176149,2223.542023,1841.322622,1422.258607,1355.148226
strategy 11,1990.337187,2410.136005,2479.413735,2492.561948,2499.277036,2503.362282,2479.122793,1269.28399,1103.874772,1269.547712,1487.736228,1986.630104,2358.087009,2428.870271,2448.52863,2456.93525,2461.252434,2462.814404,2463.120852,1878.460819,1252.424269,1096.122084,1300.480801,1590.358091,2175.034072,2410.043639,2445.156611,2452.180058,2454.071396,2454.651777,2454.744909,2389.760843,1459.578402,1464.302496,1415.942943,1567.658342,1997.36582,2392.744521,2443.871746,2450.763413,2452.172666,2452.389721,2452.165896,2451.048378,2055.391729,1676.231965,1439.743906,1466.964509,1713.922716,2241.730161,2420.498147,2443.394877,2449.401235,2450.328219,2450.207738,2450.147866,2441.881944,2036.773543,1485.073352,1443.513019
strategy 7,1974.028645,2394.015488,2475.322383,2488.494526,2493.872092,2496.544925,2465.179612,1231.076361,1081.592169,1243.200467,1465.226941,1899.583497,2347.152141,2417.713158,2448.550854,2458.59812,2461.759552,2463.555113,2463.505384,1864.069142,1209.5729,1057.075991,1255.937985,1539.943274,2128.86903,2369.167757,2422.547446,2436.985028,2441.045852,2441.75385,2441.918221,2358.594267,1421.417174,1422.985619,1380.488049,1531.809693,1914.976758,2348.979355,2408.122221,2425.638583,2429.640849,2431.594094,2431.864678,2431.084649,2023.889722,1627.530383,1405.885933,1432.957784,1658.984384,2218.396385,2376.396066,2411.667568,2418.916722,2419.917317,2420.329622,2420.80912,2387.565592,2022.740964,1457.144797,1410.477836
strategy 10,1997.008033,2404.693452,2476.646064,2488.976058,2494.87501,2497.766913,2405.627527,1102.358149,1003.371402,1168.656237,1347.101466,1693.34535,2145.044628,2327.696505,2377.622006,2398.257454,2407.215724,2411.291115,2407.690709,1698.752244,1185.234108,1031.751147,1197.206009,1376.167632,1834.65587,2222.794634,2346.511728,2373.167544,2378.180853,2380.883555,2381.760909,2229.32819,1328.80219,1367.380201,1312.374785,1409.244233,1682.080863,2151.139996,2301.479183,2344.916516,2353.201272,2355.167975,2356.525988,2348.452578,1801.80168,1596.384214,1340.85216,1365.314944,1506.16608,1943.675943,2244.303936,2330.848203,2345.675833,2350.654488,2351.894239,2352.850464,2267.257147,1876.303923,1389.429955,1361.245876
strategy 1,1928.2569,2382.609919,2461.758473,2475.75329,2478.647398,2474.950894,2291.278366,921.6789609,828.6358294,947.9334009,1074.49373,1308.522265,1673.631436,2034.850402,2165.174159,2205.818036,2221.465029,2225.603627,2207.404493,1339.650998,1017.366274,871.4792454,1002.928661,1160.568479,1400.753659,1768.669267,2004.1253,2087.700171,2110.530936,2116.65808,2115.406184,1889.227318,1081.012586,1122.234229,1112.400202,1175.101938,1337.647929,1620.22038,1879.116125,1981.519474,2013.208444,2021.756411,2024.114985,2003.010176,1445.771185,1341.349937,1167.103376,1156.730952,1247.131112,1465.384458,1737.060569,1908.552231,1951.126224,1962.245792,1964.831912,1965.111444,1865.947416,1543.908339,1242.00136,1166.868165
strategy 2,1974.028645,2399.042348,2473.511257,2486.925224,2491.305819,2493.133793,2380.011116,1032.103037,943.2507206,1087.783705,1238.950268,1547.148482,1953.117889,2181.05195,2262.629858,2297.661511,2310.323737,2314.482681,2299.259796,1575.604072,1131.913044,979.0265156,1145.851291,1319.452941,1705.337232,2045.820169,2176.970284,2222.185121,2235.503287,2237.546883,2236.640314,2044.734876,1261.030396,1291.66774,1247.171654,1341.05377,1575.685258,1968.156953,2111.561838,2162.421622,2178.902695,2181.720048,2182.022617,2176.962067,1686.251662,1451.135372,1286.401805,1300.937218,1431.700884,1771.230071,2024.307485,2111.695514,2135.993327,2139.316265,2140.065523,2140.15168,2053.596956,1762.495439,1327.633615,1277.447275
