,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
nothing,37264.29284,46404.92539,48001.9676,48279.23352,48314.26829,48252.51911,44699.14718,18022.85724,16428.92816,19043.01872,21902.7261,26563.25083,33289.28834,39578.18348,41812.60224,42588.6376,42911.24915,43039.01275,42598.54223,27251.48541,20079.70292,17087.06425,19613.25497,22671.81721,27470.72977,33693.71338,38339.08395,39798.3435,40289.04201,40447.05201,40357.4301,35148.75731,22492.53029,22809.5107,22089.47994,23275.7886,26418.93544,31392.78793,35828.16195,37909.68371,38362.67319,38493.87236,38496.29123,37763.6349,29091.57101,26579.74586,22969.34492,22951.54969,24762.30341,28765.15241,33009.21084,36166.37018,36973.71016,37237.12036,37292.40294,37283.53541,35905.71155,29237.49826,24859.84455,23188.59136
strategy 13,41567.42529,48027.8382,48732.91497,48892.2691,48942.18335,49000.49917,48778.8881,34066.26631,30078.86703,34650.57267,38682.06597,44873.14734,47844.15977,48561.26742,48741.5068,48801.8577,48825.25096,48833.07617,48833.63201,45088.75904,29909.20336,29704.05942,35421.96969,41067.62596,46826.82022,48149.61765,48497.131,48547.68132,48565.99669,48568.88733,48567.5561,48290.07257,36843.24997,36974.31063,35286.94948,40293.48943,45357.1572,47849.74585,48226.04182,48261.5342,48270.01102,48282.64411,48293.91016,48300.8944,45928.36367,40227.02585,34941.77967,37904.79245,42632.68427,46811.8633,47998.74031,48153.43032,48195.84259,48195.57852,48198.95467,48203.65576,47941.54519,45799.50544,36140.75798,36651.94393
strategy 6,38392.82884,46885.45744,48307.52284,48586.15838,48693.09247,48767.8195,46934.04386,21270.74355,19373.03627,22455.68129,25573.46921,31691.42604,39816.2173,43778.23317,44944.10607,45517.42497,45854.56889,45962.26533,45939.45452,31515.84391,23202.55103,20296.13344,23441.14566,27095.49712,34759.75981,41839.48375,43839.26268,44484.52491,44740.53608,44797.60029,44790.86348,41438.32476,26155.11627,26592.03897,25508.55493,27393.62013,32163.37674,40189.94531,42755.10666,43662.84485,43887.85839,43991.11506,44025.64975,43713.71368,35597.91028,30158.09916,26513.61999,25811.90797,28914.53071,36335.28442,41347.60459,42726.28876,43119.99339,43296.22366,43324.9223,43322.80393,41925.241,34105.64607,28143.33645,26674.08382
strategy 9,38456.35052,46945.73952,48317.92746,48600.60839,48708.55049,48787.79384,46943.52071,21444.08159,19581.89453,22686.04566,25868.30287,31873.1073,40095.89858,43862.32156,45096.98859,45698.20152,46059.79284,46185.49568,46156.60061,31981.94961,23265.79708,20342.96741,23760.17834,27558.65003,35426.62012,41884.81805,44027.25715,44751.95308,45067.90202,45154.34244,45165.84825,41773.6561,26483.09439,26955.12683,25786.44389,27785.97949,32564.3816,40536.83782,43079.04122,43825.09771,44137.83281,44224.7049,44247.73762,43973.80087,36018.94288,30275.22945,26552.29684,26957.98069,29653.1504,36568.03743,41769.5618,43026.35825,43370.59679,43489.68863,43512.26416,43528.52528,42208.79893,35798.90166,27939.60077,26941.42275
strategy 8,38392.82884,46728.48521,48258.42667,48567.95396,48703.98713,48759.10102,47005.9785,21744.71932,19585.53956,22758.56296,26039.82654,32481.38887,40395.63147,44300.85596,45669.89457,46255.01252,46473.39366,46544.53855,46423.25972,32765.41949,23013.54728,20203.96163,23487.51764,27176.01568,35331.58762,42233.08158,44620.47019,45179.71427,45343.65354,45414.03866,45430.19097,42291.00635,26177.1639,26769.07891,25790.31488,27581.01859,32810.28389,40721.09633,43601.56049,44491.06446,44715.33065,44830.21504,44853.19891,44695.787,35416.68946,30618.11497,26218.63024,26898.8727,29440.16983,37193.36986,42337.02952,43854.2923,44193.45246,44315.73826,44352.03402,44359.16031,42850.69452,36351.5984,28135.02562,26933.44116
strategy 11,38392.82884,46830.54594,48317.32901,48616.10142,48772.90558,48864.9269,48310.2154,25319.5904,21838.75295,24995.11633,28918.92712,38083.9527,45715.13068,47242.49713,47677.73801,47838.27522,47915.48114,47945.44349,47954.15193,36502.03991,24733.75032,21654.15714,25615.02967,30949.60548,42015.44229,46817.36373,47524.05555,47679.85145,47720.39254,47733.02817,47737.01197,46478.34749,28662.79411,28785.4766,27794.44141,30688.67301,38574.03523,46455.42533,47493.11308,47647.17423,47678.00847,47680.66236,47678.26959,47651.80111,40333.6474,32834.80988,28406.35929,28786.27329,33393.64274,43309.48322,46984.27103,47471.88277,47614.50205,47635.0104,47634.21711,47630.82005,47459.01457,39693.16355,29289.60679,28492.35686
strategy 7,38197.96693,46553.15387,48250.20329,48560.12528,48692.08222,48762.4838,48157.8448,24494.15376,21602.83426,24851.96411,29181.51293,37370.50805,45777.75574,47186.82181,47840.18057,48063.54955,48138.81499,48172.40119,48171.18532,36653.22177,24116.53595,21104.42249,25064.00207,30532.41112,41555.45555,46318.84438,47334.98528,47625.07721,47709.48238,47728.84167,47735.01458,46135.73548,28157.66289,28287.01937,27510.72563,30338.10626,37515.20974,45912.31094,47088.56025,47431.14656,47495.08773,47523.04143,47527.03148,47509.67796,39918.27553,32273.49028,27998.33514,28500.11386,32809.3447,43281.72353,46501.89224,47180.94696,47318.63822,47329.89224,47334.69938,47342.60651,46682.5283,39951.42198,28939.61504,28129.59278
strategy 10,38539.87983,46764.67567,48284.0589,48573.20376,48712.43923,48779.6446,47038.61601,22411.78347,20028.96191,23203.37962,26394.72302,33061.60767,41366.80632,44997.63292,46158.92973,46653.81479,46875.22975,46960.36787,46902.5751,33277.63769,23454.57632,20424.98466,23727.76633,27281.70057,35635.78149,43004.40407,45444.84865,46036.32556,46154.60566,46212.56714,46229.5901,43176.29339,26601.37433,27221.17527,26104.95627,27876.63421,33100.95861,41621.9972,44666.10773,45546.58899,45712.32303,45766.18972,45790.15501,45659.21961,35292.5904,31575.72427,26605.4631,27138.7103,29869.30329,37873.60711,43426.85294,45213.68355,45544.03786,45652.97527,45673.99732,45682.86599,44143.3924,36668.33366,27734.2239,27085.6968
strategy 1,37264.29284,46315.29468,47933.65198,48243.14425,48303.62919,48225.65515,44852.69851,18658.81167,16738.62769,19182.94138,21711.66415,26178.02003,33017.66824,39700.86694,42112.98496,42911.1108,43259.36881,43355.68099,43087.6587,26784.57696,20438.87163,17565.10924,20136.79591,23184.36784,27781.22895,34647.37814,39037.1037,40623.74696,41088.59414,41200.76302,41178.4443,37152.26007,21943.71165,22657.89525,22377.625,23557.56548,26691.53599,31954.80136,36689.3109,38621.52661,39235.70779,39403.64538,39444.82943,39137.31125,28641.31367,26730.16273,23388.21655,23222.38927,24957.39258,29078.53312,34042.2194,37158.49554,37973.2824,38183.7525,38235.54058,38241.58963,36317.45374,30857.69275,24849.58714,23377.2587
strategy 2,38197.96693,46750.45657,48259.87359,48554.88993,48658.93493,48722.77901,46671.84043,20750.24495,18883.20132,21818.17923,24875.87633,30791.31105,38417.07944,42746.58838,44276.62705,44970.40465,45254.97812,45349.30761,45112.97568,31343.2725,22717.86052,19753.83915,22987.77247,26342.57301,33569.86706,40138.65539,42663.72345,43534.26924,43772.38116,43817.00311,43802.13295,40282.19288,25367.64249,25920.09917,25045.48795,26800.32986,31273.75887,38673.0646,41445.18939,42420.87187,42725.60573,42767.38649,42769.84087,42678.82387,33147.44828,28850.2801,25886.31826,26005.67716,28510.06593,34807.2908,39610.0214,41283.38884,41759.48643,41819.78091,41833.57391,41836.17291,40267.38025,34856.66108,26697.45641,25593.29474
