,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
开放,3318.422764,4784.241139,3659.989341,3730.108448,4274.002194,4219.298645,3839.77203,1686.137345,1067.335087,833.2452728,769.8262909,941.6878549,1289.959367,1815.281133,2254.680269,2821.598586,3276.284256,3483.959767,3464.719414,1855.7439,1267.876299,983.1289782,886.0630337,907.02592,1160.982213,1547.470512,2202.484296,2278.303235,3039.455488,3035.908251,3494.155199,2880.401574,1744.77864,1422.936634,1266.466899,1242.292556,1384.902122,1871.413289,2211.317013,2606.780243,3024.394093,3147.879546,3550.183445,3438.910714,2369.360607,2037.429834,1716.279974,1605.723689,1613.997382,2004.847926,2295.480455,3149.172059,2956.264625,3385.710198,3573.757221,3487.679196,3840.241049,2773.731157,2299.302811,2045.296449
草种植,5785.287285,6505.403828,5495.824269,6725.735172,6231.400377,6796.95308,7073.236332,4441.962693,3579.064856,4548.750448,5755.553755,5794.036488,6870.929161,7227.39531,7104.685267,7180.92112,7078.178938,7068.836112,6930.955174,6643.683435,4024.078328,3727.845745,5120.397309,6020.475057,5902.040559,7157.960206,6765.370851,7077.313934,7547.166874,7322.162128,6945.144252,7767.569552,5107.213044,5091.955114,4809.45055,6990.514764,6402.38062,6339.001588,7538.099415,7207.774592,7183.439969,7935.830248,7275.472699,7460.891926,6800.261032,6052.187844,4727.482518,5830.097785,6990.481003,6675.263781,7394.938501,7247.284259,7435.038493,7546.161324,7508.019421,7407.149271,7773.078993,7104.57864,5087.476123,5336.190251
畜牧区保护,5186.743464,6614.372433,5684.30138,6179.344462,6527.696273,6617.052444,6543.949366,3299.063637,2370.54796,2301.161157,2592.102451,3892.613235,5179.685777,5066.395279,6172.104398,6110.938561,6625.326117,6593.84903,7032.947598,4251.590791,3006.072911,2541.831954,2789.149415,3253.351265,4522.43592,6125.416186,5499.589349,6696.216671,6838.557264,6442.041508,7220.832757,6098.783882,3725.107237,3250.794167,3126.085269,3543.776572,4285.903467,6520.715881,5546.759147,6371.430051,6810.012425,6235.494872,7237.620919,6673.219884,4892.005295,3962.379551,3682.049803,3621.84104,3994.597147,6038.395526,6055.145459,6292.645894,6747.150565,7223.31475,6678.486945,7372.880429,7334.430757,5063.930896,4038.116078,3878.873909
畜牧区缓冲,5259.195869,6731.347339,5861.941983,6317.392228,6666.258714,6727.08445,6953.081155,3450.231671,2476.616097,2386.583529,2747.227003,4019.897307,5620.343576,5164.793799,6654.140409,6282.210688,6403.439345,6975.086432,7166.019426,4334.702627,3090.796527,2566.173562,2851.017984,3384.87733,5407.666406,5544.330887,5901.50813,6778.70502,6820.99699,6386.053265,7425.633652,6308.746275,3932.796672,3528.068213,3293.014533,3873.316025,4943.885917,6301.522526,6416.665086,6979.837776,6567.860859,6769.927638,7394.347551,6955.545888,5427.548789,4422.757203,3712.49317,3915.290955,4626.376732,6274.891365,6081.833558,7384.521168,7006.052822,7031.049675,7391.518861,7532.416772,7214.138712,5648.837094,4307.277596,4025.226952
畜牧区引导,5858.52278,7461.359351,6507.627017,6907.648165,7965.075664,7648.241774,7813.140588,4156.231235,3050.4524,2940.654241,3374.341313,4770.020171,6156.66241,6442.041246,7414.056318,7443.429261,7583.323324,7983.719087,8003.648321,5109.144551,3712.864913,3181.381316,3590.412829,4236.062851,6367.319273,6468.156715,6940.302328,7643.211349,7605.435517,8099.853149,7882.599007,7601.400853,4556.266052,4053.443742,3925.533239,4479.750718,5692.775138,7345.233861,6981.120077,8198.637909,7792.489003,7925.613018,8001.411419,8394.532307,5870.026846,5153.806505,4384.488171,4789.086765,5171.515149,7669.763399,7267.360656,7629.675722,8453.652675,7476.735841,8100.568936,8502.184897,7987.497561,6069.949585,4852.157038,4613.390723
电网,4224.526955,4745.270913,4369.311438,4965.23964,5607.595205,5402.601666,5514.150324,3189.306722,2482.152273,2497.409645,2751.240178,4291.12132,4978.309683,4858.622047,5809.618617,5356.825587,5757.761366,5658.732246,6030.89193,4152.582948,3088.319616,2662.061864,3005.22638,3647.818703,5418.733743,5190.696724,5751.548301,5733.544903,6014.403171,5959.415756,5996.067,5619.255716,3706.669405,3390.072087,3277.323198,3734.387322,4903.346524,6116.83077,5448.870616,5849.176653,5841.18782,5947.920826,6193.565071,6120.358974,4789.02113,4080.489161,3693.159972,3789.419618,4588.858117,6250.999783,5381.299278,6221.16301,5880.31978,6121.119697,6534.136211,5893.259016,6329.628897,5130.072076,3975.697012,3710.761979
电网增强,4507.544141,4894.272693,4517.546883,5438.475894,5479.980404,5592.553103,5778.830271,3335.384574,2586.556926,2507.663141,3118.662421,4980.163355,4849.707224,4998.48488,5920.428061,5943.343044,5403.733644,6251.370576,5839.733704,4451.20765,3329.90094,2859.78836,3182.740776,3989.542658,5573.985613,5528.316277,5344.232969,5686.381697,6274.561972,5537.524102,6474.094899,5826.893168,3911.975429,3572.471246,3401.664497,4120.561815,5226.024781,5978.37733,5776.850063,5925.548104,5877.888267,6318.076159,6247.876308,6019.637389,5082.765875,4308.029651,3878.428914,4065.877062,4729.16608,6660.908919,5452.724132,5931.143071,6341.757859,5940.069616,6239.387294,6752.173847,6032.02892,5305.85203,4161.766308,4025.936955
耕种区保护+引导,5904.140849,7574.284349,6579.791213,7045.792795,7999.298573,7854.868362,7876.933716,4228.43113,3118.247944,3027.026762,3468.16888,4870.734462,6488.575487,6508.905409,7569.697484,7604.044266,7753.699088,8201.309189,8131.554676,5282.908311,3852.861894,3304.4314,3760.346942,4287.6971,6766.066571,6535.573761,6991.499426,7786.438839,7711.791091,8079.340583,8287.490466,7633.805585,4646.342724,4133.470884,4012.930084,4618.524633,5786.668955,7886.956705,7107.671203,8078.921954,8149.284557,7849.710554,8388.798377,8650.106678,5734.471553,5131.695664,4397.135491,4703.730796,5209.214454,8259.047559,6774.681685,7908.450984,8317.095568,7875.642656,8431.009404,8671.803931,8192.864116,6820.12444,4956.44796,4623.732133
禁止捕猎,3897.603634,5610.49928,4486.90375,4507.623067,5345.780568,5040.548417,4652.63353,2155.502037,1395.677086,1125.090688,1074.707877,1309.743828,1861.716108,2694.525701,2929.910168,4007.062341,4344.65801,4473.357918,4831.770725,2627.937581,1798.23576,1399.547739,1281.923404,1402.154303,1755.118622,2577.439429,3066.505618,3602.786863,4082.00833,4523.655086,4380.855467,4230.268461,2464.240365,1952.776794,1755.280889,1757.325588,2025.776524,2630.590621,3302.009832,3601.104842,4350.616961,4389.617157,4412.779651,4867.413157,3152.280931,2651.57031,2274.857792,2165.257268,2257.904401,2775.36883,3394.739299,4002.048108,4071.995779,4590.996909,4706.27818,4858.068765,4554.454828,3571.094426,2920.092389,2631.932835
设立保护区,4988.60439,6288.348814,5341.197685,5676.042407,6171.620291,6072.576463,6133.676663,3061.850983,2188.720052,2105.592824,2350.385245,3579.258711,4419.331787,4486.412865,5242.13739,5902.926813,5261.264707,6258.138381,6151.29032,3881.629997,2759.152427,2260.900525,2519.127529,2814.635935,4154.402595,4866.293228,5079.727849,6213.271325,5398.680551,6005.613972,6400.399468,5559.490063,3464.861028,3056.158445,2896.060335,3326.011307,3942.400222,5986.936329,5030.244191,5742.879664,5856.482613,6290.019814,6263.499375,6300.368353,4820.369496,3797.95297,3314.184587,3420.738694,3973.147619,5303.859824,5267.441097,6344.90168,6276.1556,6221.185264,6174.59113,6938.3851,5993.386684,5238.702116,3962.133751,3716.173734
