,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
开放,60657.99254,87394.3304,72878.02101,68424.09924,85750.62595,79718.36157,75410.53831,33858.13404,21552.60816,16984.3048,15752.55161,18937.736,25062.78239,35238.84732,44003.26019,52899.26698,63175.97832,65581.37653,66495.03847,37063.51219,26161.77625,20740.50806,18856.13738,19328.26144,24268.89299,31815.24559,44928.07735,44985.27622,58496.40839,57851.71107,69196.67496,56211.84083,36198.83815,30258.12715,27307.84708,26848.95557,29600.91412,38707.66261,46123.45906,53695.08056,60346.02646,63901.56512,69501.87531,68497.89643,49420.96928,43076.20284,37058.91356,34801.53326,34839.36766,42066.9351,47586.14883,63754.6621,59815.59811,68040.38783,70952.99337,70125.49024,75257.92744,57152.81601,48576.55652,43555.88402
草种植,100736.097,116130.7169,104563.2673,122810.1818,118581.6992,124209.859,135376.3779,80697.31105,64772.28258,80462.95034,101929.6969,101927.4107,126425.5021,128518.0137,128786.0021,133802.0239,128326.0532,131720.393,124456.5615,122977.1956,74555.60181,68215.18724,90341.24205,108225.0855,108823.5936,126422.6189,122511.917,131503.8496,136401.3563,138052.2199,129363.356,139565.6406,95280.62722,93132.34591,88037.25505,121560.4159,119082.3119,117628.6883,139348.4722,132442.0444,131938.1177,146789.7986,134637.4446,137481.18,128714.7634,110325.38,88614.09195,106543.8755,127279.441,124133.5853,133879.3438,132943.3386,141422.8139,139232.5422,138764.364,140419.4184,143646.3959,133703.2823,96995.54794,98812.78692
畜牧区保护,90051.2638,118184.2687,109066.8253,110872.6457,124908.6678,119649.9122,121821.314,61292.20064,43343.64835,40655.1371,44129.40921,65792.12293,85286.18436,87312.51865,105694.3854,111546.9832,117599.0289,119696.8017,127370.2601,77625.80758,55468.46014,46699.02887,49928.51579,57660.45283,77534.63734,105826.1162,96846.99187,116775.9087,120502.4807,120317.3912,128235.7207,113224.1229,70994.25364,62311.17387,58491.9383,65754.13839,77275.26461,113919.1637,102020.9137,116250.9805,120956.4577,117966.9191,135177.781,123431.0769,94158.34567,76573.43713,71789.07026,69265.61879,76424.81558,108031.332,109741.7821,120293.1769,122698.9713,133094.5671,125896.8741,132519.5307,138749.6049,97796.76263,79506.84847,76052.1736
畜牧区缓冲,91171.42061,119584.1625,110719.2296,113882.8671,126337.1051,120914.3751,126342.5311,63353.79197,45052.83448,42294.59221,46999.45043,67962.46753,92543.79407,88699.74474,112930.66,110737.785,117465.132,122967.4377,127826.4495,78878.40992,56807.81006,47007.88643,51033.30998,58569.88267,92119.66754,95590.82219,102400.417,118596.2726,120770.1032,117771.1002,130986.5011,115174.6468,74470.60242,66944.30612,62446.25795,70971.12807,88720.36432,109749.0188,116288.2725,123787.5504,119924.9193,126008.6883,135637.6057,127770.2023,102666.1103,83965.58101,71916.4402,74055.73607,86504.48831,110452.4818,112977.0222,133742.5065,127817.0143,131513.0397,137749.4813,138018.7871,134197.5259,107602.0145,84291.07571,78892.31523
畜牧区引导,101944.9714,133216.8165,124952.3054,126497.2546,153525.8102,142634.1203,143157.7364,77841.97799,56562.87037,53765.45552,58665.84997,84585.64804,107560.0868,113668.748,135306.0478,133576.6477,139813.6853,146454.8354,147878.3618,94986.95499,69465.78852,59173.59829,65242.66267,75505.03177,110643.5134,116026.2482,127220.7623,138774.036,141989.2691,146495.9691,149889.416,135953.6954,86434.89647,77387.35686,75391.81485,83650.56016,103427.6777,133493.7794,129703.3894,151820.9057,145686.8517,149476.9419,150770.5504,153911.2405,113268.3103,100714.8227,86327.30745,92078.14569,98755.18559,139419.4062,134980.2202,146000.0214,151932.1836,143687.1023,154418.3767,161761.6446,148388.5527,117472.1714,95356.78767,90854.04852
电网,63793.34898,76981.01571,73287.31155,82198.93173,94929.07339,91930.60364,91607.12321,54528.7881,42183.50339,41759.95042,44536.6347,66127.65099,80686.11045,77907.22945,95735.99956,91449.40104,95665.86299,95888.53584,103123.3076,72554.55755,54907.19333,47124.92399,51418.42207,60688.19671,87355.01967,86738.53043,95698.18467,97930.10309,101246.3356,104348.7529,102997.6683,98569.91804,67286.85824,61720.02526,58299.2859,64542.43166,83695.36091,98482.15448,97297.09226,101615.2874,100098.3431,104378.1022,110073.8431,104755.1619,86834.56675,74307.50765,67844.13816,67888.88233,79596.53352,103421.5843,94368.29056,108515.4355,101669.7732,107802.1012,114912.6656,103656.1943,111682.9715,92193.92304,73223.51159,68137.49522
电网增强,67648.18128,79248.88564,75299.6473,90318.2317,93665.39641,96194.73303,98384.71464,57052.62624,43664.84134,41120.56186,49797.08108,74821.12648,77613.28797,82227.67116,97785.10625,97702.75299,91980.61392,105442.293,102765.1521,76546.45781,58402.87063,49862.85745,53668.82211,66233.92306,85682.71759,93896.12812,96173.33603,94896.89886,110959.843,96027.03199,109878.2486,102742.1101,69922.20441,62708.31934,59906.34347,70086.06456,86766.3269,99736.22914,100685.2508,104405.8614,102521.116,108228.9714,111530.9072,106103.5426,90036.12901,77516.62175,69900.31396,71624.00383,80569.1277,109949.9289,94771.14139,101973.416,111363.963,105167.1771,109406.9797,118776.0935,106763.3019,95431.50309,76303.22835,72937.04853
耕种区保护+引导,103272.9414,135863.4724,127285.3835,130149.8165,155151.0683,147804.7516,144733.2153,79872.16015,58535.26741,56387.81888,61475.49441,87768.31838,116744.7073,115850.1859,139404.5836,139121.1366,145163.3934,150093.3816,153738.9895,99426.29654,72985.12653,62166.94061,68913.16156,78749.32439,118459.6456,121588.6484,130166.601,144801.0965,145953.065,150591.1609,155889.2062,140705.5324,89076.68092,79736.02909,77255.80394,87215.49755,105557.88,145152.4442,135621.4924,148033.3472,154264.6434,150642.8962,157172.3594,164948.4387,110585.1491,99910.78002,85976.6941,90588.7782,99878.94302,149767.0693,128635.1458,152720.7391,156332.5294,150792.4143,160986.374,163235.5616,159919.255,130621.0655,98295.08352,91979.37406
禁止捕猎,70578.62191,101799.9985,88609.93627,82573.41481,104471.3068,95175.98836,90669.70373,42459.36095,27511.37417,22259.42245,21222.754,25466.51563,35855.69248,50875.2015,56020.58488,75670.04586,82510.26097,84711.17347,91258.39307,52116.4954,36554.02812,28957.40446,26694.95269,28924.46678,35734.69785,51045.74803,61080.98472,71170.76401,78512.41615,87577.47218,84871.91704,82345.3222,50495.40688,41087.26455,37301.28468,37304.79305,42798.29952,53966.59186,66648.72519,70760.72323,85607.00347,86254.39335,84741.71277,95152.57286,64181.2483,55065.52342,47727.52051,45557.5141,47188.19947,56867.86413,68940.40511,79707.09051,81969.82802,90581.58816,91485.57557,97714.76572,89304.40843,73480.7711,61093.40841,55488.23302
设立保护区,86427.92741,113515.2289,103574.0925,103035.8743,118660.7627,111799.4269,115023.742,57307.16426,40261.14251,37217.30883,39628.75536,59420.09723,71739.67199,77383.77754,89237.91913,105792.8673,98227.54019,113145.851,113800.1449,71885.59947,51278.54283,42207.27215,45294.90249,50991.91183,69644.55914,85357.37523,93835.20329,108594.608,100981.1822,112240.6965,117551.9967,104710.0008,67091.75707,58892.19115,55403.47031,62114.79032,70462.01552,104937.2838,94640.50225,101203.7711,110636.5225,118390.592,114223.8491,121502.2359,92330.63103,74161.52717,65420.03251,66536.50911,75109.90935,94683.45048,99085.43999,119162.9324,117310.5441,118337.5374,115793.5581,129076.7294,115920.6129,99979.60385,79262.07277,74740.06287
设立缓冲区,88771.08886,116375.4512,107127.3324,108773.3227,122549.8486,115604.2365,116952.7483,60102.96477,43166.28526,41060.57793,45424.90812,63016.59205,87164.75491,83087.89686,98880.03249,108823.1042,109110.6752,117646.5566,121049.3949,76975.57012,54681.55667,45441.00197,48910.63146,54869.87445,82976.06476,91847.88017,91553.87172,115314.4594,114070.6552,111292.2927,125242.4825,110193.6318,69825.50118,61498.95752,58345.17002,64796.96469,79331.56739,107438.5849,100212.6291,110805.1908,121494.5582,114243.437,120355.5756,125161.0259,90591.20141,77065.73402,68625.08766,71326.40524,77953.18968,105140.2294,104994.72,114304.2902,122450.8053,121660.1354,124806.3083,134762.6927,117469.6653,104893.2265,78490.10868,75519.35969
狩猎,38211.23981,43057.11639,36518.82367,43955.15764,42377.05862,39793.0145,46614.81852,19993.39016,13344.40335,11846.10187,12942.65694,20758.61635,25921.19629,25730.99597,38284.63367,32164.95171,38283.53257,36099.17822,42403.10123,23240.31131,15871.93461,12775.46434,14199.79749,16509.15831,23861.58815,30810.94698,27697.85343,35792.50376,36288.13301,31845.84127,42469.55246,35209.24447,19328.15991,16893.29229,15341.95714,17327.02361,22221.97369,33079.68654,28466.27823,38704.80664,34337.9991,38592.53585,37346.50135,37134.29045,28651.30777,22547.18076,18481.60322,18710.79806,21219.02721,33768.80535,31607.53864,35863.46138,39173.33442,37464.72519,39633.79913,42344.26629,37644.69804,28408.79866,20782.97748,19540.8991
