,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
nothing,215526.9527,494951.8513,335725.7395,277374.8974,391050.553,328778.5082,314537.0994,22076.17816,27840.70094,67382.86883,134002.1092,277271.6471,388144.734,407511.419,393416.5934,363303.8278,362172.2091,357846.1781,314026.2591,81565.98303,68519.6068,68631.51695,126174.0607,200746.653,319148.7315,388638.0619,420535.2588,318173.7651,382445.2855,323593.5622,349631.0424,219848.6642,72646.10418,113302.5853,130035.6048,185900.1523,258939.9609,386312.8569,321243.5777,353391.9697,341351.3262,296266.0808,345159.0404,283753.5091,127752.5332,148170.877,123080.3653,165623.753,209983.2565,334789.1449,306444.1972,399010.5682,277999.4859,314013.5329,317836.5553,270330.8013,305345.5179,150801.6131,125952.8154,134841.9883
strategy 13,419342.4232,435502.3715,299905.7911,315012.5568,298336.1631,326086.6433,331595.651,109959.4311,128919.001,275992.45,366358.4645,305305.9124,360010.9322,321611.3732,319484.468,322851.0886,292168.9508,319353.9295,284898.5142,277758.7717,72482.02873,146885.9391,330089.0162,362952.3251,298700.7298,359932.3867,314529.3256,313173.7026,326736.019,324989.5224,270292.5035,345874.8864,132260.4723,215176.8935,193859.6535,407163.1299,306180.3777,279651.3306,355308.3083,297460.6348,293013.6723,342120.1055,267949.2101,295668.3627,258361.4402,219388.0832,146284.5189,298380.8669,366083.5605,293938.6518,311204.7804,313243.2868,296858.797,314648.816,295971.3258,291297.858,298862.8674,260445.5922,125374.4658,228686.45
strategy 6,355007.7954,468900.7762,315354.9869,271316.8917,341049.1159,301720.4175,304627.8949,28614.13762,47526.9883,117802.911,194150.4935,355482.1534,407365.4993,313287.2617,352971.148,327200.697,342078.8742,284156.5988,329843.3354,95433.8022,63902.08208,85087.40101,175951.5729,248846.8534,351834.1242,426115.2734,265935.0246,343116.762,332025.4105,278852.4618,323485.4686,224976.7024,66478.07997,118707.2436,145846.3899,230703.2736,290353.1834,443156.0015,254643.5481,310308.7729,328856.183,263729.5941,340229.5341,260564.4868,148395.0685,124089.2242,150040.8935,177232.882,231356.2486,402863.6549,312263.6444,301923.7026,298756.6585,318687.8226,263624.762,302405.8419,291443.2872,131509.2291,106449.4097,154321.2923
strategy 9,359850.4262,469335.8798,319475.3088,270452.4404,340998.3285,301515.5861,309988.9617,28351.21032,47162.49798,116074.261,204513.9601,358748.3314,406708.5291,297134.4964,370250.4461,311182.3163,308439.0322,309131.345,324844.6328,96589.26508,66313.00742,80690.18751,181569.0811,251771.418,431205.3871,317512.5349,289255.652,345920.2686,333535.3216,259435.0065,343536.8388,225818.1103,67591.83207,123455.6975,144891.2352,241831.8522,326156.1724,355959.9089,313487.217,287435.1632,286595.3366,296400.0605,321467.8832,263855.3945,160545.4133,136887.3275,118314.548,197736.2849,262447.2929,374519.1684,273438.5973,348128.3263,277451.9237,281503.3842,292243.5616,291080.9111,260715.8194,161671.4249,101396.794,145380.9358
strategy 8,401872.1876,469864.7855,306725.8482,254421.7097,343325.242,279574.1008,306125.4938,29725.8299,43640.02465,105480.5153,191079.2207,333997.3744,381768.9772,342255.5876,334705.6752,288545.3096,293816.9238,306441.6079,298984.8469,101457.2859,59985.16134,80584.5778,177559.0947,244585.5011,397742.6743,298748.3489,324282.5438,304118.2715,288258.3323,306674.1603,274975.2352,246064.314,61007.32884,114551.3807,140623.1997,223634.2487,304650.4465,374321.3116,255168.3879,323627.233,276238.2476,280016.8583,270474.3,292805.1633,129689.3804,137136.2754,107451.4309,196960.7111,229115.5586,379527.1895,287360.4849,275763.8991,297186.5654,242854.4602,280968.4619,283679.9023,250770.3565,137793.596,95680.54576,136343.8874
strategy 11,301873.4588,252143.2683,137066.2246,161423.0813,182902.3772,143719.5649,171491.2919,19425.81122,32008.80815,78055.4881,111203.0323,227560.6423,198581.9113,158107.4267,198757.0026,149201.5006,169502.5454,159002.1152,169320.1227,65116.55587,41023.45537,50983.25093,117188.412,157118.3956,237662.9395,155383.129,168459.8596,163542.9101,166441.1234,157881.5886,158588.3845,138810.4831,36945.35592,70845.71709,84181.73675,135876.9248,195429.5746,201141.9485,147845.7676,158668.6368,152554.6938,162384.6431,158837.064,152152.0497,84982.73037,75333.91289,73739.566,105399.1312,160288.1344,218397.0057,129972.9731,173970.6606,144800.6007,158807.0783,173222.0534,128704.8978,154580.7492,95699.74506,48672.65915,72565.41987
strategy 7,324710.2925,242770.4681,130652.2669,168234.3686,154905.9385,144788.8808,165976.257,13973.2557,27168.35793,64055.80273,131474.6379,232959.4983,179509.1975,149398.3293,194183.352,169049.4104,136690.438,184449.6771,144837.8292,71974.91304,38369.80594,45524.92632,104573.5004,161059.8415,217264.9091,164719.9954,154091.4367,152522.8553,169810.0206,130201.6839,179044.9094,131875.4693,36743.20736,66065.3504,77018.5509,139539.6695,181288.1418,188425.567,148816.6446,155530.2149,146106.1595,169719.8898,148875.4624,137357.5696,93341.47785,72703.4884,68649.66467,105844.0389,143448.9683,220218.174,119830.8093,154559.0981,162160.1394,126971.5851,146432.5931,170030.0096,123476.6695,94827.80758,48642.07878,80408.62008
strategy 10,404240.4339,473686.0183,301363.6284,260455.8378,332053.2344,286897.2378,299577.0628,31008.16922,45984.72758,112575.0126,193751.173,326437.1414,411809.0297,302682.4703,327709.3784,298945.9317,292879.9849,306183.9265,288565.8329,102658.254,68289.6035,88251.42561,194406.8569,238917.9981,414907.0083,294305.7159,289666.4872,323798.5696,287351.1267,289795.8324,289423.7417,235831.2529,59154.4051,114630.4327,144336.4264,235929.5641,293500.9207,405953.15,242809.7638,303195.7473,288259.286,272494.8089,278456.0753,303135.181,108527.5497,140500.0212,116402.9687,194769.1704,236110.6001,427121.4717,237131.3161,315898.3112,296901.4284,262100.1354,278095.7742,288838.9936,242329.6639,164881.4493,86297.04876,135135.2681
strategy 1,252874.4582,500956.4597,335127.4107,257759.6852,394116.2078,309111.2272,283930.0578,26637.80888,36697.6857,84878.78192,144395.6116,273007.6632,405346.3313,430445.6594,321166.0341,402724.2801,358624.0991,319154.7099,334545.3971,77585.37353,62664.08668,65400.18994,128678.6514,227566.9696,313283.1887,424331.3088,350046.5858,338800.5958,323769.8772,333436.7191,291154.2068,257295.4308,62631.86948,94834.66742,128422.219,192620.3065,269088.6375,356247.7032,361640.9782,308558.694,338536.3992,305457.0598,283648.6007,317106.3412,112659.4091,133775.5791,123425.3591,168619.0526,222712.334,317074.9527,334440.32,345090.2647,274007.2484,319297.064,281154.286,280957.2796,252874.6794,158088.1722,114404.9187,136794.5688
strategy 2,340223.8166,467156.6239,315542.5325,254166.3427,359694.474,292980.1402,304428.0346,26396.12826,45660.72058,109697.7589,177052.9179,344381.5212,369957.7311,342016.2849,322200.3412,386432.8061,278957.3899,342182.154,303364.8559,98249.92308,68100.13984,72593.31897,170584.3304,227499.0152,356957.6515,368512.5807,313479.754,354081.2217,263306.8195,305896.7086,315247.0715,242249.1831,63666.20354,111380.742,136050.3445,221597.6528,278072.4526,394205.8754,289149.6209,301837.0745,303382.987,330936.8876,263028.0073,300584.3905,147926.7619,130849.5769,120819.8862,179760.9138,244603.6584,342635.3274,288555.4949,348023.448,266653.5268,298185.4512,256888.9373,303705.3644,240335.6297,178211.5071,112286.2151,146616.9605
