,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
开放,3734023.252,8988663.351,7105964.374,5044169.591,7969643.966,6314873.449,6031755.404,529626.3852,624530.8462,1457491.956,2757342.476,5411043.088,7479928.776,7736172.042,7883013.516,7006507.879,7028940.677,7123708.222,6078539.999,1803548.167,1524843.501,1526662.411,2658402.92,4097195.481,6300959.218,7549375.661,8292654.442,6155211.995,7358981.394,6242488.058,7173013.89,4292668.488,1629141.632,2400750.902,2796714.324,3816905.038,5189811.692,7450322.113,6458029.843,6858279.411,6514118.868,5992129.164,6517970.6,5714294.009,2671702.523,3074432.034,2592056.342,3423798.97,4218796.997,6542959.589,6004725.106,7804713.9,5345458.956,6268813.551,6153572.583,5403828.733,5955595.867,3075836.406,2722832.821,2830102.086
草种植,7032208.504,7604081.93,6169415.484,6024467.356,5753006.127,6089773.14,6715272.625,2098317.028,2585750.467,5352422.491,7225331.153,5697496.883,7382859.115,6185256.316,6097623.015,6643609.451,5565067.494,6363971.314,5476216.756,5551874.26,1504533.929,3007544.929,6428449.893,6916562.363,5936592.801,6819310.628,6111594.596,6272822.969,6277879.082,6532418.831,5311456.024,6560538.616,2844772.576,4198488.788,3980630.921,7492237.389,6049902.978,5601890.636,6774686.096,5943990.9,5700270.353,6590637.608,5510802.617,5574228.197,5332749.499,4212361.911,3001530.589,5828253.83,7249997.632,5767545.728,5875104.222,6106758.946,6149082.286,5939296.935,5737659.046,5754905.309,5791147.661,5164193.548,2664229.446,4396216.178
畜牧区保护,5857932.95,8304101.316,6582512.828,5025472.751,6664157.653,5798361.206,5978555.021,655434.3847,942758.704,2273827.848,3705237.351,7002194.527,7609366.503,5883794.538,7030687.087,6549362.427,6424151.897,5714674.303,6546869.771,1985530.319,1335394.094,1752754.046,3445727.664,4912108.275,6813421.815,8151875.314,5288824.861,6705876.608,6398438.517,5684581.588,6184050.942,4560326.791,1467390.016,2527126.077,2874572.495,4603230.128,5729783.398,8301052.293,5139992.913,6214266.031,6017557.446,5392670.83,6705603.044,5081665.053,3131483.283,2520340.885,3115812.202,3516092.51,4613115.584,7551566.601,6025699.435,6224202.442,5598809.267,6195338.781,5315768.19,5792535.937,5885227.272,2703840.524,2287307.863,3147805.231
畜牧区缓冲,5938663.422,8356822.443,6532799.539,5129255.482,6607023.909,5757769.814,5966575.047,684293.8191,983655.756,2282076.588,3920213.224,6906697.615,7869356.987,5531872.673,7314262.128,6104378.86,6171207.845,5997784.992,6330408.402,2110046.247,1415895.651,1652563.762,3551743.485,4891889.182,8141395.747,6305278.179,5741313.736,6874624.462,6334568.298,5327050.435,6485719.364,4591613.711,1535145.563,2608904.022,2955387.844,4725465.841,6111882.288,6811686.634,6095845.76,5761194.327,5495938.47,5846236.982,6250552.118,5146719.238,3341128.478,2747842.135,2493966.376,3880782.339,5276501.88,6826274.981,5388513.889,6904955.69,5199718.504,5700528.223,5830290.49,5572418.383,5127631.885,3402677.587,2147188.399,2995576.047
畜牧区引导,6644524.461,8238330.795,6335313.68,4830958.615,6854932.588,5479700.904,5688347.336,733275.3554,941620.7324,2248289.979,3669476.046,6796762.771,7118306.058,6402707.978,6760855.554,5412261.488,5982996.814,6110282.428,5775250.206,2253382.182,1325272.461,1713612.727,3580928.374,4783902.577,7661043.057,5806567.076,6243790.161,5877890.646,5910582.016,5763242.295,5769452.293,4658732.477,1415701.395,2420515.971,2978511.578,4448727.548,5956961.098,7066737.482,5069015.639,6539901.438,5296338.622,5440503.139,5343179.234,5551354.615,2790037.358,2970413.481,2268674.567,3956855.228,4488315.884,7373206.963,5309806.264,5636112.676,5309233.471,4995993.008,5677686.636,5549129.754,4748229.974,2978553.553,1956744.463,2822327.491
电网,4380384.607,4346304.857,2947217.332,3116005.913,3562898.568,2782208.89,3159389.88,450537.7619,652287.206,1463924.114,1984168.729,3969384.518,3829064.972,3078613.039,3971807.25,3011913.47,3330715.944,3147810.53,3360492.522,1390160.321,938754.9813,1047929.138,2146020.803,2867620.41,4297947.366,3240052.431,3219672.768,3347955.324,3100007.053,3244485.901,3034709.036,2769319.316,890098.4912,1474823.414,1596165.726,2484303.858,3670313.434,3561031.226,3128750.776,3035399.293,2893220.283,3246755.584,3138157.608,2750134.17,1865906.099,1571989.241,1537913.138,1976188.253,2922486.823,3874160.04,2661985.156,3397512.686,2778931.72,3091540.871,3375050.515,2498763.871,3001886.634,1971832.547,1076818.609,1468963.74
电网增强,4688688.533,4174234.59,2833498.368,3307768.557,3052638.042,2796477.625,3190295.417,291735.8757,516710.6649,1167269.678,2378125.852,3909470.43,3544778.776,3062653.216,3879681.653,3163322.1,2826457.215,3663421.995,2963662.726,1484892.418,867165.7085,939228.1102,1909122.188,3004602.863,3842950.901,3360610.454,3303978.284,2863581.889,3472335.01,2575607.572,3396885.043,2697011.912,841960.5587,1298994.446,1577796.939,2563840.83,3340982.544,3642762.076,3006654.218,3115822.83,2831414.899,3143870.776,3054270.89,2663641.694,1845366.27,1534826.385,1392239.527,1986144.856,2644466.937,3962526.721,2579470.841,2978515.157,3244431.709,2482403.474,2920488.876,3248541.75,2440447.626,1984695.745,1062357.02,1593423.218
耕种区保护+引导,6713432.728,8298428.587,6282289.261,4961345.514,6672539.626,5588895.722,5541882.108,773476.4542,1005719.803,2436032.739,3717817.487,6621730.281,7767311.546,5702265.384,6641361.452,5742608.984,6021605.733,5832697.904,5825842.002,2201688.217,1454001.484,1799229.592,3829035.325,4908836.143,7753392.055,6086764.691,5591713.309,6162777.608,5906210.549,5555318.72,5879088.874,4594880.004,1365765.956,2475052.823,3029520.803,4663768.541,5804333.224,7664738.415,4907899.96,5947407.564,5642813.562,5419526.475,5399032.736,6027267.356,2281401.202,2993186.882,2421701.455,3905836.065,4774152.913,8189099.973,4330651.561,6405485.745,5784323.073,5118183.885,5602062.755,5582780.132,4956388.939,3358053.825,1826577.629,2843878.221
禁止捕猎,4345125.675,9049160.509,7073273.037,4717594.966,7700333.234,5995237.405,5563624.081,611326.4239,756541.954,1745396.305,2956906.632,5375988.854,7925926.658,8299916.286,6389909.625,7730092.612,7113538.185,6137076.677,6671899.71,1740526.126,1349215.084,1457188.559,2703293.453,4565948.768,6199165.975,8285527.434,6705899.031,6795137.811,6307611.412,6594827.864,5684606.06,5091845.11,1453646.065,2101566.188,2703150.809,3920319.092,5415206.691,6899575.773,6955150.105,5983384.531,6734129.056,5963554.1,5378931.021,6395291.006,2379747.202,2823489.797,2579291.654,3466089.992,4450231.564,6231740.726,6591803.073,6583392.849,5551668.534,6176970.438,5407382.981,5804224.747,4827296.962,3359273.204,2432766.512,2896358.591
设立保护区,5570062.692,8282545.719,6551108.706,4883449.115,6757703.072,5766176.741,5964735.24,613641.8718,923603.5064,2139917.634,3473874.85,6776301.275,7199311.032,6240927.074,6618217.687,7324886.753,5630373.258,6500224.831,6048909.883,2120841.191,1388577.431,1582526.246,3434627.273,4626648.441,6795367.242,7313665.315,5977329.747,7021358.216,5205798.983,6047923.082,6216618.49,4791280.325,1370487.186,2332056.371,2857031.026,4486144.579,5370163.053,7932518.623,5391183.088,5755413.628,6214933.845,6387903.617,5259960.268,5970741.851,3107293.335,2589486.801,2638940.125,3667847.458,4908456.058,6554647.145,5668074.218,6750632.573,5442184.6,5545715.664,5167978.622,6039208.844,4732374.698,3640179.485,2396169.104,3064522.392
